season,teamsk,teamname,opponentsk,opponentname,matchesplayed,wins,losses,noresults,runsscored,runsconceded,ingestionts
2009,1,Chennai Super Kings,2,Deccan Chargers,2,1,1,0,343,269,2026-01-07T06:37:18.867Z
2008,12,Mumbai Indians,2,Deccan Chargers,2,1,1,0,332,308,2026-01-07T06:37:18.867Z
2012,6,Royal Challengers Bangalore,10,Pune Warriors,2,2,0,0,359,320,2026-01-07T06:37:18.867Z
2017,7,Kolkata Knight Riders,8,Rising Pune Supergiants,2,1,1,0,339,340,2026-01-07T06:37:18.867Z
2009,9,Kings XI Punjab,7,Kolkata Knight Riders,2,1,1,0,312,232,2026-01-07T06:37:18.867Z
2013,6,Royal Challengers Bangalore,7,Kolkata Knight Riders,2,1,1,0,273,270,2026-01-07T06:37:18.867Z
2010,2,Deccan Chargers,9,Kings XI Punjab,2,2,0,0,348,338,2026-01-07T06:37:18.867Z
2015,1,Chennai Super Kings,6,Royal Challengers Bangalore,3,3,0,0,469,417,2026-01-07T06:37:18.867Z
2010,12,Mumbai Indians,11,Delhi Daredevils,2,2,0,0,401,264,2026-01-07T06:37:18.867Z
2012,6,Royal Challengers Bangalore,11,Delhi Daredevils,2,2,0,0,372,331,2026-01-07T06:37:18.867Z
2008,7,Kolkata Knight Riders,11,Delhi Daredevils,1,1,0,0,133,110,2026-01-07T06:37:18.867Z
2015,4,Rajasthan Royals,11,Delhi Daredevils,2,2,0,0,375,359,2026-01-07T06:37:18.867Z
2008,12,Mumbai Indians,4,Rajasthan Royals,2,1,1,0,249,249,2026-01-07T06:37:18.867Z
2009,9,Kings XI Punjab,11,Delhi Daredevils,2,1,1,0,227,178,2026-01-07T06:37:18.867Z
2011,12,Mumbai Indians,11,Delhi Daredevils,2,2,0,0,277,241,2026-01-07T06:37:18.867Z
2016,7,Kolkata Knight Riders,0,Sunrisers Hyderabad,3,2,1,0,457,453,2026-01-07T06:37:18.867Z
2010,4,Rajasthan Royals,6,Royal Challengers Bangalore,2,0,2,0,222,225,2026-01-07T06:37:18.867Z
2017,7,Kolkata Knight Riders,12,Mumbai Indians,3,0,3,0,449,464,2026-01-07T06:37:18.867Z
2008,7,Kolkata Knight Riders,6,Royal Challengers Bangalore,2,2,0,0,351,206,2026-01-07T06:37:18.867Z
2012,1,Chennai Super Kings,7,Kolkata Knight Riders,3,1,2,0,489,490,2026-01-07T06:37:18.867Z
2013,0,Sunrisers Hyderabad,6,Royal Challengers Bangalore,2,1,1,0,291,292,2026-01-07T06:37:18.867Z
2016,12,Mumbai Indians,0,Sunrisers Hyderabad,2,0,2,0,234,322,2026-01-07T06:37:18.867Z
2009,2,Deccan Chargers,6,Royal Challengers Bangalore,3,2,1,0,485,467,2026-01-07T06:37:18.867Z
2017,5,Gujarat Lions,11,Delhi Daredevils,2,0,2,0,403,411,2026-01-07T06:37:18.867Z
2010,11,Delhi Daredevils,4,Rajasthan Royals,2,2,0,0,330,262,2026-01-07T06:37:18.867Z
2015,7,Kolkata Knight Riders,11,Delhi Daredevils,2,2,0,0,318,304,2026-01-07T06:37:18.867Z
2008,2,Deccan Chargers,11,Delhi Daredevils,2,0,2,0,324,337,2026-01-07T06:37:18.867Z
2012,9,Kings XI Punjab,6,Royal Challengers Bangalore,2,1,1,0,326,324,2026-01-07T06:37:18.867Z
2010,9,Kings XI Punjab,4,Rajasthan Royals,2,0,2,0,305,340,2026-01-07T06:37:18.867Z
2012,2,Deccan Chargers,11,Delhi Daredevils,2,0,2,0,344,355,2026-01-07T06:37:18.867Z
2012,6,Royal Challengers Bangalore,12,Mumbai Indians,2,1,1,0,313,314,2026-01-07T06:37:18.867Z
2013,7,Kolkata Knight Riders,6,Royal Challengers Bangalore,2,1,1,0,270,273,2026-01-07T06:37:18.867Z
2013,1,Chennai Super Kings,12,Mumbai Indians,4,1,3,0,535,579,2026-01-07T06:37:18.867Z
2010,11,Delhi Daredevils,9,Kings XI Punjab,2,1,1,0,257,254,2026-01-07T06:37:18.867Z
2011,7,Kolkata Knight Riders,6,Royal Challengers Bangalore,2,0,2,0,260,280,2026-01-07T06:37:18.867Z
2011,7,Kolkata Knight Riders,11,Delhi Daredevils,1,1,0,0,148,131,2026-01-07T06:37:18.867Z
2012,2,Deccan Chargers,4,Rajasthan Royals,2,1,1,0,324,323,2026-01-07T06:37:18.867Z
2015,11,Delhi Daredevils,0,Sunrisers Hyderabad,2,1,1,0,324,326,2026-01-07T06:37:18.867Z
2013,11,Delhi Daredevils,6,Royal Challengers Bangalore,2,0,2,0,331,335,2026-01-07T06:37:18.867Z
2016,12,Mumbai Indians,9,Kings XI Punjab,2,1,1,0,313,291,2026-01-07T06:37:18.867Z
2012,1,Chennai Super Kings,10,Pune Warriors,2,1,1,0,319,307,2026-01-07T06:37:18.867Z
2015,0,Sunrisers Hyderabad,4,Rajasthan Royals,2,1,1,0,328,325,2026-01-07T06:37:18.867Z
2017,12,Mumbai Indians,11,Delhi Daredevils,2,2,0,0,354,194,2026-01-07T06:37:18.867Z
2011,11,Delhi Daredevils,10,Pune Warriors,2,1,0,1,246,187,2026-01-07T06:37:18.867Z
2010,7,Kolkata Knight Riders,11,Delhi Daredevils,2,1,1,0,318,344,2026-01-07T06:37:18.867Z
2012,4,Rajasthan Royals,6,Royal Challengers Bangalore,2,1,1,0,338,325,2026-01-07T06:37:18.867Z
2014,12,Mumbai Indians,6,Royal Challengers Bangalore,2,1,1,0,302,284,2026-01-07T06:37:18.867Z
2014,11,Delhi Daredevils,0,Sunrisers Hyderabad,2,0,2,0,323,228,2026-01-07T06:37:18.867Z
2012,12,Mumbai Indians,6,Royal Challengers Bangalore,2,1,1,0,314,313,2026-01-07T06:37:18.867Z
2012,10,Pune Warriors,9,Kings XI Punjab,2,1,1,0,281,260,2026-01-07T06:37:18.867Z
2012,4,Rajasthan Royals,1,Chennai Super Kings,2,0,2,0,272,274,2026-01-07T06:37:18.867Z
2014,6,Royal Challengers Bangalore,4,Rajasthan Royals,2,0,2,0,260,262,2026-01-07T06:37:18.867Z
2016,8,Rising Pune Supergiants,5,Gujarat Lions,2,0,2,0,358,360,2026-01-07T06:37:18.867Z
2009,6,Royal Challengers Bangalore,9,Kings XI Punjab,2,1,1,0,313,310,2026-01-07T06:37:18.867Z
